gamedetails,gamedetails-href,scoredetails,matchdate,CountryTeam1,Scoredetails,goaldetails
"0 - 3","http://soccerstats.us/games/250554/","36





    
    



Villa 






    

    





    
  
  

    
    
    

    

69





    
    



Torres 






    

    





    
  
  

    
    
    

    

82





    
    



Mata","Monday, June 23, 2014","[{""CountryTeam1"":""Australia""},{""CountryTeam1"":""Spain""}]","[{""Scoredetails"":""36""},{""Scoredetails"":""69""},{""Scoredetails"":""82""}]","[{""goaldetails"":""36""},{""goaldetails"":""Villa""},{""goaldetails"":""69""},{""goaldetails"":""Torres""},{""goaldetails"":""82""},{""goaldetails"":""Mata""}]"
"0 - 2","http://soccerstats.us/games/250555/","77





    
    



Fer 






    

    





    
  
  

    
    
    

    

90





    
    



Memphis","Monday, June 23, 2014","[{""CountryTeam1"":""Chile""},{""CountryTeam1"":""Netherlands""}]","[{""Scoredetails"":""77""},{""Scoredetails"":""90""}]","[{""goaldetails"":""77""},{""goaldetails"":""Fer""},{""goaldetails"":""90""},{""goaldetails"":""Memphis""}]"
"2 - 1","http://soccerstats.us/games/250694/","Thiago Silva 






    

    

7





    
    
    

    





    
  
  

    
    



David Luiz 






    

    

69





    
    
    

    





    
  
  

    
    
    

    

80





    
    



Rodríguez","Friday, July 04, 2014","[{""CountryTeam1"":""Brazil""},{""CountryTeam1"":""Colombia""}]","[{""Scoredetails"":""7""},{""Scoredetails"":""69""},{""Scoredetails"":""80""}]","[{""goaldetails"":""Thiago Silva ""},{""goaldetails"":""7""},{""goaldetails"":""David Luiz ""},{""goaldetails"":""69""},{""goaldetails"":""80""},{""goaldetails"":""Rodríguez""}]"
"1 - 0","http://soccerstats.us/games/250589/","Vertonghen 






    

    

78","Thursday, June 26, 2014","[{""CountryTeam1"":""Belgium""},{""CountryTeam1"":""South Korea""}]","[{""Scoredetails"":""78""}]","[{""goaldetails"":""Vertonghen ""},{""goaldetails"":""78""}]"
"1 - 0","http://soccerstats.us/games/250549/","Orgi 






    

    

88","Sunday, June 22, 2014","[{""CountryTeam1"":""Belgium""},{""CountryTeam1"":""Russia""}]","[{""Scoredetails"":""88""}]","[{""goaldetails"":""Orgi ""},{""goaldetails"":""88""}]"
"2 - 2","http://soccerstats.us/games/250533/","Gotze 






    

    

51





    
    
    

    





    
  
  

    
    
    

    

54





    
    



A. Ayew 






    

    





    
  
  

    
    
    

    

63





    
    



Gyan 






    

    





    
  
  

    
    



Klose 






    

    

71","Saturday, June 21, 2014","[{""CountryTeam1"":""Germany""},{""CountryTeam1"":""Ghana""}]","[{""Scoredetails"":""51""},{""Scoredetails"":""54""},{""Scoredetails"":""63""},{""Scoredetails"":""71""}]","[{""goaldetails"":""Gotze ""},{""goaldetails"":""51""},{""goaldetails"":""54""},{""goaldetails"":""A. Ayew""},{""goaldetails"":""63""},{""goaldetails"":""Gyan""},{""goaldetails"":""Klose ""},{""goaldetails"":""71""}]"
"1 - 2","http://soccerstats.us/games/250463/","1





    
    



Dempsey 






    

    





    
  
  

    
    



A. Ayew 






    

    

82





    
    
    

    





    
  
  

    
    
    

    

86





    
    



Brooks","Monday, June 16, 2014","[{""CountryTeam1"":""Ghana""},{""CountryTeam1"":""United States""}]","[{""Scoredetails"":""1""},{""Scoredetails"":""82""},{""Scoredetails"":""86""}]","[{""goaldetails"":""1""},{""goaldetails"":""Dempsey""},{""goaldetails"":""A. Ayew ""},{""goaldetails"":""82""},{""goaldetails"":""86""},{""goaldetails"":""Brooks""}]"
"2 - 2","http://soccerstats.us/games/250548/","Nani 






    

    

5





    
    
    

    





    
  
  

    
    
    

    

64





    
    



Jones 






    

    





    
  
  

    
    
    

    

81





    
    



Dempsey 






    

    





    
  
  

    
    



Varela 






    

    

90","Sunday, June 22, 2014","[{""CountryTeam1"":""Portugal""},{""CountryTeam1"":""United States""}]","[{""Scoredetails"":""5""},{""Scoredetails"":""64""},{""Scoredetails"":""81""},{""Scoredetails"":""90""}]","[{""goaldetails"":""Nani ""},{""goaldetails"":""5""},{""goaldetails"":""64""},{""goaldetails"":""Jones""},{""goaldetails"":""81""},{""goaldetails"":""Dempsey""},{""goaldetails"":""Varela ""},{""goaldetails"":""90""}]"
"2 - 1","http://soccerstats.us/games/250441/","16





    
    



Honda 






    

    





    
  
  

    
    



Bony 






    

    

64





    
    
    

    





    
  
  

    
    



Gervinho 






    

    

66","Saturday, June 14, 2014","[{""CountryTeam1"":""Côte d'Ivoire""},{""CountryTeam1"":""Japan""}]","[{""Scoredetails"":""16""},{""Scoredetails"":""64""},{""Scoredetails"":""66""}]","[{""goaldetails"":""16""},{""goaldetails"":""Honda""},{""goaldetails"":""Bony ""},{""goaldetails"":""64""},{""goaldetails"":""Gervinho ""},{""goaldetails"":""66""}]"
"5 - 2","http://soccerstats.us/games/250507/","Giroud 






    

    

17





    
    
    

    





    
  
  

    
    



Matuidi 






    

    

18





    
    
    

    





    
  
  

    
    



Valbuena 






    

    

40





    
    
    

    





    
  
  

    
    



Benzema 






    

    

67





    
    
    

    





    
  
  

    
    



Sissoko 






    

    

73





    
    
    

    





    
  
  

    
    
    

    

81





    
    



Dzemaili 






    

    





    
  
  

    
    
    

    

87





    
    



Xhaka","Friday, June 20, 2014","[{""CountryTeam1"":""France""},{""CountryTeam1"":""Switzerland""}]","[{""Scoredetails"":""17""},{""Scoredetails"":""18""},{""Scoredetails"":""40""},{""Scoredetails"":""67""},{""Scoredetails"":""73""},{""Scoredetails"":""81""},{""Scoredetails"":""87""}]","[{""goaldetails"":""Giroud ""},{""goaldetails"":""17""},{""goaldetails"":""Matuidi ""},{""goaldetails"":""18""},{""goaldetails"":""Valbuena ""},{""goaldetails"":""40""},{""goaldetails"":""Benzema ""},{""goaldetails"":""67""},{""goaldetails"":""Sissoko ""},{""goaldetails"":""73""},{""goaldetails"":""81""},{""goaldetails"":""Dzemaili""},{""goaldetails"":""87""},{""goaldetails"":""Xhaka""}]"
